N,N_Level
349.2,M
223.1,L
242.5,M
194,L
174.6,L
232.8,L
203.7,L
223.1,L
232.8,L
203.7,L
184.3,L
203.7,L
213.4,L
203.7,L
252.2,M
213.4,L
203.7,L
213.4,L
213.4,L
213.4,L
213.4,L
203.7,L
174.6,L
194,L
174.6,L
223.1,L
213.4,L
223.1,L
223.1,L
242.5,M
194,L
239.2,L
208,L
197.6,L
208,L
218.4,L
218.4,L
208,L
228.8,L
228.8,L
239.2,L
218.4,L
249.6,M
156,L
187.2,L
218.4,L
228.8,L
218.4,L
208,L
228.8,L
218.4,L
176.8,L
228.8,L
208,L
239.2,L
208,L
228.8,L
208,L
208,L
228.8,L
187.2,L
239.2,L
218.4,L
218.4,L
187.2,L
197.6,L
208,L
208,L
228.8,L
228.8,L
249.6,M
239.2,L
228.8,L
104,L
228.8,L
228.8,L
187.2,L
166.4,L
187.2,L
218.4,L
187.2,L
270.4,M
228.8,L
249.6,M
208,L
208,L
218.4,L
260,M
208,L
228.8,L
280.8,M
239.2,L
208,L
239.2,L
239.2,L
228.8,L
208,L
187.2,L
249.6,M
260,M
176.8,L
208,L
208,L
218.4,L
197.6,L
176.8,L
208,L
208,L
197.6,L
228.8,L
197.6,L
208,L
176.8,L
260,M
156,L
239.2,L
228.8,L
176.8,L
187.2,L
208,L
156,L
187.2,L
176.8,L
260,M
239.2,L
156,L
228.8,L
260,M
239.2,L
374.4,M
187.2,L
270.4,M
218.4,L
239.2,L
208,L
176.8,L
197.6,L
208,L
416,M
239.2,L
176.8,L
260,M
187.2,L
208,L
239.2,L
187.2,L
176.8,L
260,M
208,L
280.8,M
208,L
187.2,L
208,L
249.6,M
239.2,L
208,L
176.8,L
208,L
280.8,M
249.6,M
228.8,L
218.4,L
197.6,L
228.8,L
208,L
228.8,L
239.2,L
218.4,L
436.8,M
312,M
426.4,M
197.6,L
239.2,L
249.6,M
208,L
239.2,L
249.6,M
218.4,L
228.8,L
208,L
218.4,L
228.8,L
218.4,L
166.4,L
187.2,L
218.4,L
249.6,M
176.8,L
218.4,L
176.8,L
208,L
176.8,L
187.2,L
228.8,L
270.4,M
270.4,M
187.2,L
260,M
208,L
208,L
208,L
208,L
208,L
218.4,L
176.8,L
197.6,L
208,L
228.8,L
208,L
218.4,L
208,L
208,L
239.2,L
208,L
228.8,L
197.6,L
208,L
208,L
197.6,L
208,L
208,L
208,L
218.4,L
228.8,L
239.2,L
208,L
218.4,L
208,L
260,M
208,L
218.4,L
