Ca,Mg,K,S,N,Lime,C,P,Moisture
1.832,26.49,71.09,4,191.52,5.37,0.62,40,0.6
1.087,10.15,74.15,2,180.88,5.62,0.54,20,0.9
1.242,10.95,73.84,3,244.72,5.33,0.65,22,0.6
1.242,10.95,76.54,2,202.16,5.59,0.59,20,0.6
1.335,11.98,61.19,2,212.8,5.34,0.57,19,0.7
1.18,10.82,63.16,3,191.52,5.66,0.55,20,0.7
1.149,10.64,69.33,2,212.8,5.42,0.6,7,0.9
1.553,13.14,73.34,2,212.8,5.46,0.63,18,0.9
1.335,11.49,82.77,6,212.8,5.28,0.65,20,0.5
1.118,9.604,62.63,2,212.8,5.359,0.62,22,0.5
1.242,12.53,62.84,2,159.6,5.356,0.6,30,0.8
0.776,7.591,56.16,2,170.24,5.53,0.52,20,0.6
1.149,9.482,62.65,3,212.8,5.42,0.68,25,0.9
1.398,13.02,62.19,8,212.8,5.42,0.7,22,0.9
1.211,12.1,60.12,2,180.88,5.48,0.62,30,0.6
1.149,14.05,62.64,4,191.52,5.52,0.08,18,0.9
1.149,11.8,62.18,2,234.08,5.05,0.56,28,0.8
1.087,11.8,59.58,3,266,5.16,0.74,22,0.7
1.273,10.52,63.77,2,202.16,5.16,0.76,96,0.6
0.901,9.543,65.04,4,212.8,5.04,0.69,31,0.9
1.025,10.76,58.87,2,223.44,5.3,0.72,7,0.7
0.932,10.15,57.6,5,255.36,5.25,0.7,28,0.5
1.211,14.18,62.75,12,191.52,5.14,0.63,18,0.9
1.335,11.68,59.04,3,234.08,5.08,0.63,21,0.9
1.335,10.09,60.73,2,212.8,5.31,0.58,17,0.9
1.522,10.95,63.17,2,234.08,5.05,0.54,28,0.6
1.398,10.95,77.97,3,148.96,5.07,0.54,22,0.5
1.087,10.09,69.81,2,202.16,5.05,0.63,16,0.9
1.304,12.59,71.63,8,180.88,5.06,0.56,19,0.8
1.118,9.787,69.4,2,212.8,5.08,1.05,23,0.7
1.335,15.88,60.78,5,244.72,5.22,0.76,27,0.7
1.273,10.88,60.48,3,170.24,5.38,0.77,18,0.6
1.46,14.97,83.75,3,191.52,5.04,0.46,36,0.6
1.118,9.604,71.5,5,212.8,5.07,0.58,17,0.6
1.273,10.58,69.94,9,234.08,5.02,0.54,26,0.8
1.211,11.31,60.6,3,223.44,5,0.63,33,0.6
1.149,10.64,61.69,4,212.8,5.29,0.62,28,0.5
1.429,18.08,70.01,8,191.52,5.18,0.58,29,0.6
1.087,10.09,65.04,4,212.8,5.31,0.59,36,0.9
1.491,9.848,57.03,3,234.08,5.18,0.55,23,0.5
0.994,9.604,53.88,3,170.24,5.3,0.57,26,0.7
1.056,10.15,52.43,6,170.24,5.28,0.53,16,0.8
1.211,10.34,55.37,4,191.52,5.29,0.58,22,0.7
1.056,9.36,54.9,7,212.8,5.32,0.67,32,0.8
0.932,9.97,57.05,5,191.52,5.27,0.65,18,0.9
1.087,8.567,58.41,7,180.88,5.25,0.58,19,0.9
1.335,10.82,48.32,6,212.8,5.21,0.49,17,0.6
1.025,7.835,54.28,5,170.24,5.35,0.66,22,0.9
1.304,10.46,55.35,4,180.88,5.29,0.46,20,0.6
1.335,11.43,59.59,26,180.88,5.26,0.74,19,0.6
0.13,2.957,59.83,6,191.52,5.11,0.68,24,0.6
0.807,7.835,60.77,7,180.88,5.06,0.66,18,0.9
1.304,10.82,61.19,6,180.88,5.35,0.48,27,0.7
1.087,12.04,55.37,7,180.88,5.19,0.67,20,0.8
1.335,11.43,67.8,8,202.16,5.45,0.54,21,0.8
1.398,2.165,66.25,9,191.52,5.28,0.55,19,0.8
1.211,11.13,64.16,7,191.52,5.28,0.62,20,0.7
1.273,10.7,67.52,6,212.8,5.44,0.67,18,0.9
1.211,11.8,70.77,7,212.8,5.53,0.72,18,0.5
1.025,8.079,76.85,9,202.16,5.25,0.58,35,0.9
1.05,7.06,67.43,8,212.8,5.24,0.72,34,0.7
0.95,10.25,57.39,8,202.16,5.38,1.21,16,0.5
0.68,9.26,50.57,7,212.8,5.17,1.05,18,0.8
0.53,1.6,54.15,8,212.8,5.34,0.46,14,0.8
0.236,2.06,56.66,8,212.8,5.04,1.26,19,0.7
1.087,10.76,54.53,7,106.4,5.29,0.48,15,0.8
1.487,5.962,51.4,9,255.36,5.17,0.95,17,0.7
1.41,5.625,49,8,159.6,5.13,0.55,15,0.6
1.385,5.817,53.07,7,159.6,5.19,0.68,21,0.8
1.103,5.24,49.55,8,170.24,5.18,0.56,20,0.5
1.41,6.923,54.88,7,180.88,5.26,0.57,28,0.6
1.308,4.856,53.92,8,212.8,5.04,0.66,19,0.7
1.308,4.76,51.83,10,180.88,5.27,0.65,17,0.5
2.282,22.88,186.9,10,297.92,4.56,0.64,212,0.7
2.179,25.05,183.04,12,308.56,4.54,2.01,195,0.9
1.051,7.115,59.62,11,223.44,5.3,1.84,11,0.8
2.205,24.81,178.08,10,319.2,5.08,2.08,259,0.8
2.564,25.24,186.83,11,297.92,4.74,2.01,238,0.8
2.59,24.66,186.67,10,319.2,4.64,2.15,242,0.7
2.179,23.22,166.44,11,319.2,4.75,1.9,254,0.8
1.462,7.308,54.14,13,159.6,5.51,0.53,256,0.5
1.667,5.817,52.87,10,191.52,5.25,0.57,110,0.7
2.692,24.09,183.24,11,266,5.25,2.05,26,0.5
2.179,26.49,183.14,12,319.2,4.64,1.96,230,0.5
2.436,24.52,171.71,11,319.2,4.67,1.87,246,0.5
1.385,7.644,55.61,9,191.52,5.62,0.51,20,0.8
2.128,20.43,62.32,6,159.6,5.32,0.5,12,0.8
2.051,20.77,65.52,7,170.24,5.23,0.6,24,0.7
1.923,22.12,58.7,8,159.6,5.26,0.65,21,0.6
2.282,20.34,58.98,10,191.52,5.45,0.64,21,0.8
1.564,4.904,193.09,13,287.28,5.44,2.03,210,0.8
1.308,5.673,183.78,14,319.2,4.62,2.17,198,0.9
2.179,29.9,209.46,12,266,4.52,2.12,218,0.7
2.077,28.75,55.12,12,191.52,4.7,0.62,20,0.6
2.128,29.33,53.88,3,191.52,5.28,0.61,214,0.8
1.282,6.683,54.29,12,212.8,5.09,0.58,19,0.5
2.333,29.28,222.06,10,266,5.1,2.02,235,0.6
1.974,25.1,216.28,17,244.72,4.71,2.02,242,0.6
2.179,28.37,200.05,15,287.28,4.71,1.93,238,0.8
1.821,16.15,112.51,16,223.44,4.9,1.13,247,0.8
1.872,26.44,212.91,14,276.64,4.69,1.96,253,0.8
